company,Year,comp_type,leverageratio,profitabilityratio
AAPL,2019,tech,2.7410043320661304,0.3781776810903472
AAPL,2020,tech,3.957039440456695,0.38233247727810865
AAPL,2021,tech,4.563512442542399,0.4177935962516778
AAPL,2022,tech,5.961536943479634,0.43309630561360085
MSFT,2019,tech,1.8003127137691781,0.6590195720063889
MSFT,2020,tech,1.5469214903976196,0.6778100199279796
MSFT,2021,tech,1.3507549933797223,0.689258007710247
MSFT,2022,tech,1.1906786276134549,0.684016744842891
GOOG,2018,tech,0.3105591460805729,0.5647607422945643
GOOG,2019,tech,0.369669681595695,0.5558054331910266
GOOG,2020,tech,0.436192393414336,0.5357837470620785
GOOG,2021,tech,0.4277346156138852,0.5693980290098084
AMZN,2018,tech,2.734827435762015,0.4024741612885219
AMZN,2019,tech,2.6295198195294875,0.4099001147860061
AMZN,2020,tech,2.4387713588283155,0.3956779186870571
AMZN,2021,tech,2.04205577055228,0.420325144416396
META,2018,tech,0.15698883830399277,0.8324617643898421
META,2019,tech,0.3198487937142518,0.8193699874110641
META,2020,tech,0.24184270013251227,0.8058279532367824
META,2021,tech,0.3291826488040423,0.8079437627725157
BAM,2018,real_est,6.204663313447966,0.2217510984971533
BAM,2019,real_est,6.709958533108721,0.26366797469591813
BAM,2020,real_est,6.974852491086359,0.15151660204553796
BAM,2021,real_est,6.071120587538498,0.18139725256452893
AMT,2018,real_est,4.892337100129308,0.7072888805257994
AMT,2019,real_est,7.163567670214029,0.7075577483740749
AMT,2020,real_est,10.370831806522535,0.723036746875583
AMT,2021,real_est,11.969278910493584,0.7133666064615417
CCI,2018,real_est,1.8313888168697605,0.656610800744879
CCI,2019,real_est,2.666412432071694,0.6553878188443519
CCI,2020,real_est,3.0976640947045766,0.6662671232876712
CCI,2021,real_est,3.727536933882296,0.6856466876971609
SPG,2018,real_est,8.192886577566286,0.8214503848165053
SPG,2019,real_est,11.313030550190058,0.819847296476858
SPG,2020,real_est,10.385269006509349,0.8072369420266332
SPG,2021,real_est,8.849218706933089,0.8101421220332262
WY,2018,real_est,0.9068096396197214,0.2520064205457464
WY,2019,real_est,1.0063593004769475,0.17424473603906013
WY,2020,real_est,0.868170885351048,0.2768189060010621
WY,2021,real_est,0.6394538868765672,0.4017253210469562
NSRGY,2018,fmcg,1.370430416819204,0.497874659400545
NSRGY,2019,fmcg,1.4428365523205535,0.4976901954450008
NSRGY,2020,fmcg,1.6963343910712332,0.4925544100801833
NSRGY,2021,fmcg,1.60735792246895,0.48018749285469303
PG,2019,fmcg,1.4593005662905805,0.4863187754860824
PG,2020,fmcg,1.6180519025074522,0.5031712473572939
PG,2021,fmcg,1.5964885294893205,0.5142541842928086
PG,2022,fmcg,1.5379268132732917,0.4765360968735581
PEP,2018,fmcg,4.3426091748174676,0.5456148219173845
PEP,2019,fmcg,4.3067090491005,0.5535653132026027
PEP,2020,fmcg,5.899063475546306,0.5490393906667425
PEP,2021,fmcg,4.75135573147167,0.5338727130885572
UL,2018,fmcg,4.2988505747126435,0.43699737162135655
UL,2019,fmcg,3.859915100060643,0.4401308195459792
UL,2020,fmcg,3.2755142145945237,0.4345083195331598
UL,2021,fmcg,3.235459168761326,0.4230226527343452
KO,2018,fmcg,3.778222719510041,0.6190379008746356
KO,2019,fmcg,3.439386755176229,0.6077121236515859
KO,2020,fmcg,3.420488108192134,0.5931120130853578
KO,2021,fmcg,3.0216096352015307,0.6027163368257664
